time,node,sfc_1,sfc_2,sfc_3,sfc_4
0,pop0,0.6417993984181967,0.7373850279218891,0.7457661076026624,1
0,pop1,0.6417993984181967,0.7373850279218891,0.7457661076026624,1
100,pop0,0.6059518194835728,0.7084173972512725,0.7166674233234404,1
100,pop1,0.6059518194835728,0.7084173972512725,0.7166674233234404,1
200,pop0,0.5765617402460239,0.6860182681528822,0.6942861416362628,1
200,pop1,0.5765617402460239,0.6860182681528822,0.6942861416362628,1
300,pop0,0.5476257898654647,0.665571183536332,0.6734658996170794,1
300,pop1,0.5476257898654647,0.665571183536332,0.6734658996170794,1
400,pop0,0.5272437354027931,0.6423336338332006,0.6491591052808519,1
400,pop1,0.5272437354027931,0.6423336338332006,0.6491591052808519,1
500,pop0,0.5209710103814328,0.6307943845326298,0.6380890514331599,1
500,pop1,0.5209710103814328,0.6307943845326298,0.6380890514331599,1
600,pop0,0.5336319161035116,0.6371654241742682,0.6439144532033034,1
600,pop1,0.5336319161035116,0.6371654241742682,0.6439144532033034,1
700,pop0,0.5473530490714104,0.6447358486823923,0.6510226874584013,1
700,pop1,0.5473530490714104,0.6447358486823923,0.6510226874584013,1
800,pop0,0.5543268631971123,0.6504232748731847,0.6565310053054209,1
800,pop1,0.5543268631971123,0.6504232748731847,0.6565310053054209,1
900,pop0,0.5676719114507028,0.662190874790455,0.6677489818703561,1
900,pop1,0.5676719114507028,0.662190874790455,0.6677489818703561,1
1000,pop0,0.5770125867041737,0.6704686660440231,0.6759898275222955,1
1000,pop1,0.5770125867041737,0.6704686660440231,0.6759898275222955,1
1100,pop0,0.5856461249402645,0.6769647052307014,0.6818587121519072,1
1100,pop1,0.5856461249402645,0.6769647052307014,0.6818587121519072,1
1200,pop0,0.5865187208174389,0.6836516866047655,0.6875705434162667,1
1200,pop1,0.5865187208174389,0.6836516866047655,0.6875705434162667,1
1300,pop0,0.5810362473514242,0.6811345139990469,0.6838917829886901,1
1300,pop1,0.5810362473514242,0.6811345139990469,0.6838917829886901,1
1400,pop0,0.5759857165519979,0.678164728181651,0.6813605071240589,1
1400,pop1,0.5759857165519979,0.678164728181651,0.6813605071240589,1
1500,pop0,0.5697070421049926,0.6803276809951173,0.6832455858786648,1
1500,pop1,0.5697070421049926,0.6803276809951173,0.6832455858786648,1
1600,pop0,0.5555462145056235,0.6824023084886911,0.6852553762435744,1
1600,pop1,0.5555462145056235,0.6824023084886911,0.6852553762435744,1
1700,pop0,0.5552169704075801,0.692826241951161,0.695812525596121,1
1700,pop1,0.5552169704075801,0.692826241951161,0.695812525596121,1
1800,pop0,0.566855207976443,0.7114948744479234,0.7150675554662234,1
1800,pop1,0.566855207976443,0.7114948744479234,0.7150675554662234,1
1900,pop0,0.5678240354667979,0.7322440018122068,0.7361018113873145,1
1900,pop1,0.5678240354667979,0.7322440018122068,0.7361018113873145,1
2000,pop0,0.5603531648013205,0.7479413970916042,0.751729601850648,1
2000,pop1,0.5603531648013205,0.7479413970916042,0.751729601850648,1
2100,pop0,0.5494492877912835,0.7514562147378139,0.7580632558710949,1
2100,pop1,0.5494492877912835,0.7514562147378139,0.7580632558710949,1
2200,pop0,0.5319714498788678,0.7427101075924654,0.7577633752590092,1
2200,pop1,0.5319714498788678,0.7427101075924654,0.7577633752590092,1
2300,pop0,0.5340623365652273,0.7257152578028607,0.7452482771440267,1
2300,pop1,0.5340623365652273,0.7257152578028607,0.7452482771440267,1
2400,pop0,0.5406768992430884,0.7030656796700301,0.7289899693276136,1
2400,pop1,0.5406768992430884,0.7030656796700301,0.7289899693276136,1
2500,pop0,0.5512231692542823,0.6880010299989033,0.7189436294961731,1
2500,pop1,0.5512231692542823,0.6880010299989033,0.7189436294961731,1
2600,pop0,0.5652056423976238,0.6805141806336686,0.7218518616939179,1
2600,pop1,0.5652056423976238,0.6805141806336686,0.7218518616939179,1
2700,pop0,0.571659655530964,0.6790617161837861,0.7244432314025114,1
2700,pop1,0.571659655530964,0.6790617161837861,0.7244432314025114,1
2800,pop0,0.5782877090051768,0.6838264109704711,0.73372476888999,1
2800,pop1,0.5782877090051768,0.6838264109704711,0.73372476888999,1
2900,pop0,0.5844225187342459,0.688212883094923,0.7457310671135442,1
2900,pop1,0.5844225187342459,0.688212883094923,0.7457310671135442,1
3000,pop0,0.5932385039182658,0.6959857246404921,0.7563726023167958,1
3000,pop1,0.5932385039182658,0.6959857246404921,0.7563726023167958,1
3100,pop0,0.6129350430807182,0.7156290105839522,0.782726159178725,1
3100,pop1,0.6129350430807182,0.7156290105839522,0.782726159178725,1
3200,pop0,0.6324715342462347,0.7359734263623373,0.8093419577492901,1
3200,pop1,0.6324715342462347,0.7359734263623373,0.8093419577492901,1
3300,pop0,0.6507649040238074,0.7531203761146791,0.8325898457720761,1
3300,pop1,0.6507649040238074,0.7531203761146791,0.8325898457720761,1
3400,pop0,0.6629914876842831,0.7671210126456424,0.8527011144860164,1
3400,pop1,0.6629914876842831,0.7671210126456424,0.8527011144860164,1
3500,pop0,0.676254961294675,0.7814110230020209,0.87084783921347,1
3500,pop1,0.676254961294675,0.7814110230020209,0.87084783921347,1
3600,pop0,0.6844498854706113,0.7911845810491678,0.8859663916073768,1
3600,pop1,0.6844498854706113,0.7911845810491678,0.8859663916073768,1
3700,pop0,0.6905884868507547,0.7992681848090635,0.8977491298492901,1
3700,pop1,0.6905884868507547,0.7992681848090635,0.8977491298492901,1
3800,pop0,0.695966699087173,0.8061253028640826,0.9048131516294697,1
3800,pop1,0.695966699087173,0.8061253028640826,0.9048131516294697,1
3900,pop0,0.7011051824494816,0.811209431808334,0.9124497909926661,1
3900,pop1,0.7011051824494816,0.811209431808334,0.9124497909926661,1
4000,pop0,0.7054237658175398,0.8167698226186217,0.9203652793893371,1
4000,pop1,0.7054237658175398,0.8167698226186217,0.9203652793893371,1
4100,pop0,0.7085795058508438,0.8214512964282701,0.9275863727776924,1
4100,pop1,0.7085795058508438,0.8214512964282701,0.9275863727776924,1
4200,pop0,0.7127277049152879,0.8281681639079445,0.9362223608434577,1
