time,node,inter_arrival_mean
0,pop1,30.458444020867912
0,pop2,30.458444020867912
100,pop1,31.437430109540866
100,pop2,31.437430109540866
200,pop1,32.09626718848553
200,pop2,32.09626718848553
300,pop1,34.10259185632148
300,pop2,34.10259185632148
400,pop1,40.9134763788481
400,pop2,40.9134763788481
500,pop1,40.5785998144486
500,pop2,40.5785998144486
600,pop1,46.53359912582551
600,pop2,46.53359912582551
700,pop1,52.24393147831116
700,pop2,52.24393147831116
800,pop1,55.78500658431571
800,pop2,55.78500658431571
900,pop1,64.0108277697976
900,pop2,64.0108277697976
1000,pop1,66.26603095662013
1000,pop2,66.26603095662013
1100,pop1,76.6780690273114
1100,pop2,76.6780690273114
1200,pop1,97.1372311513521
1200,pop2,97.1372311513521
1300,pop1,138.45266157217068
1300,pop2,138.45266157217068
1400,pop1,120.40040473306868
1400,pop2,120.40040473306868
1500,pop1,132.90484079374036
1500,pop2,132.90484079374036
1600,pop1,135.25248688647648
1600,pop2,135.25248688647648
1700,pop1,125.03314847858627
1700,pop2,125.03314847858627
1800,pop1,98.52447894062688
1800,pop2,98.52447894062688
1900,pop1,84.79739299922164
1900,pop2,84.79739299922164
2000,pop1,79.51051778330313
2000,pop2,79.51051778330313
2100,pop1,41.50079480675499
2100,pop2,41.50079480675499
2200,pop1,16.467127617899735
2200,pop2,16.467127617899735
2300,pop1,11.889423825750981
2300,pop2,11.889423825750981
2400,pop1,8.511368619565527
2400,pop2,8.511368619565527
2500,pop1,6.874504591403435
2500,pop2,6.874504591403435
2600,pop1,5.005541962959536
2600,pop2,5.005541962959536
2700,pop1,4.386873123222959
2700,pop2,4.386873123222959
2800,pop1,3.844107424217605
2800,pop2,3.844107424217605
2900,pop1,3.204750987310453
2900,pop2,3.204750987310453
3000,pop1,2.9519096060351173
3000,pop2,2.9519096060351173
3100,pop1,2.6213342254649183
3100,pop2,2.6213342254649183
3200,pop1,2.3703017436000016
3200,pop2,2.3703017436000016
3300,pop1,2.179715191244377
3300,pop2,2.179715191244377
3400,pop1,2.0000723491525454
3400,pop2,2.0000723491525454
3500,pop1,1.8962355426811857
3500,pop2,1.8962355426811857
3600,pop1,1.762690072472639
3600,pop2,1.762690072472639
3700,pop1,1.6798005281951773
3700,pop2,1.6798005281951773
3800,pop1,1.6564394398360256
3800,pop2,1.6564394398360256
3900,pop1,1.5980399666269551
3900,pop2,1.5980399666269551
4000,pop1,1.547776128126117
4000,pop2,1.547776128126117
4100,pop1,1.5056934965925137
4100,pop2,1.5056934965925137
4200,pop1,1.4760041677494145
4200,pop2,1.4760041677494145
4300,pop1,1.414428638209662
4300,pop2,1.414428638209662
4400,pop1,1.3987705909438344
4400,pop2,1.3987705909438344
4500,pop1,1.3826666196496669
4500,pop2,1.3826666196496669
4600,pop1,1.3598666765743446
4600,pop2,1.3598666765743446
4700,pop1,1.3492322262550067
4700,pop2,1.3492322262550067
4800,pop1,1.3459425709514807
4800,pop2,1.3459425709514807
4900,pop1,1.3037840909819998
4900,pop2,1.3037840909819998
5000,pop1,1.2927951148410193
5000,pop2,1.2927951148410193
5100,pop1,1.2834945781243863
5100,pop2,1.2834945781243863
5200,pop1,1.298525554520058
5200,pop2,1.298525554520058
5300,pop1,1.2987499491754007
5300,pop2,1.2987499491754007
5400,pop1,1.3040902461985495
5400,pop2,1.3040902461985495
5500,pop1,1.295481931250695
5500,pop2,1.295481931250695
5600,pop1,1.3131588567399022
5600,pop2,1.3131588567399022
5700,pop1,1.3712390819592504
5700,pop2,1.3712390819592504
5800,pop1,1.442355545891281
5800,pop2,1.442355545891281
5900,pop1,1.499259322887802
5900,pop2,1.499259322887802
6000,pop1,1.5899483209554723
6000,pop2,1.5899483209554723
6100,pop1,1.6546071520554944
6100,pop2,1.6546071520554944
6200,pop1,1.7584635773355966
6200,pop2,1.7584635773355966
6300,pop1,1.874951775274491
6300,pop2,1.874951775274491
6400,pop1,1.9665578640847299
6400,pop2,1.9665578640847299
6500,pop1,2.0780161916128264
6500,pop2,2.0780161916128264
6600,pop1,2.2077943520591887
