time,node,inter_arrival_mean
0,pop1,1.975808306199702
0,pop2,1.975808306199702
100,pop1,1.9100363815925776
100,pop2,1.9100363815925776
200,pop1,1.8564689932617457
200,pop2,1.8564689932617457
300,pop1,1.8130322991831265
300,pop2,1.8130322991831265
400,pop1,1.778139257259256
400,pop2,1.778139257259256
500,pop1,1.7505550272662977
500,pop2,1.7505550272662977
600,pop1,1.729304035456406
600,pop2,1.729304035456406
700,pop1,1.7136042126366873
700,pop2,1.7136042126366873
800,pop1,1.7028193674805459
800,pop2,1.7028193674805459
900,pop1,1.6964239001105736
900,pop2,1.6964239001105736
1000,pop1,1.693976047681026
1000,pop2,1.693976047681026
1100,pop1,1.6950971032593256
1100,pop2,1.6950971032593256
1200,pop1,1.6994548550464665
1200,pop2,1.6994548550464665
1300,pop1,1.7067500255687542
1300,pop2,1.7067500255687542
1400,pop1,1.7167048521258026
1400,pop2,1.7167048521258026
1500,pop1,1.7290532034126551
1500,pop2,1.7290532034126551
1600,pop1,1.7435318126557606
1600,pop2,1.7435318126557606
1700,pop1,1.7336336325132395
1700,pop2,1.7336336325132395
1800,pop1,1.7808500297812666
1800,pop2,1.7808500297812666
1900,pop1,1.7437046748501246
1900,pop2,1.7437046748501246
2000,pop1,1.789706074355593
2000,pop2,1.789706074355593
2100,pop1,1.8378727916061632
2100,pop2,1.8378727916061632
2200,pop1,1.8716254659925702
2200,pop2,1.8716254659925702
2300,pop1,1.814879505409714
2300,pop2,1.814879505409714
2400,pop1,1.8323646184219595
2400,pop2,1.8323646184219595
2500,pop1,1.9427212229381898
2500,pop2,1.9427212229381898
2600,pop1,1.940651609736615
2600,pop2,1.940651609736615
2700,pop1,2.0479384211837655
2700,pop2,2.0479384211837655
2800,pop1,2.0443530214281047
2800,pop2,2.0443530214281047
2900,pop1,2.0391872433123677
2900,pop2,2.0391872433123677
3000,pop1,2.0755109502944413
3000,pop2,2.0755109502944413
3100,pop1,2.1205921081359516
3100,pop2,2.1205921081359516
3200,pop1,2.123373748171139
3200,pop2,2.123373748171139
3300,pop1,2.167139845735914
3300,pop2,2.167139845735914
3400,pop1,2.1145010393529033
3400,pop2,2.1145010393529033
3500,pop1,1.9909235564267924
3500,pop2,1.9909235564267924
3600,pop1,2.0210344525764907
3600,pop2,2.0210344525764907
3700,pop1,2.082394514287653
3700,pop2,2.082394514287653
3800,pop1,2.0499873927307988
3800,pop2,2.0499873927307988
3900,pop1,2.0262208487287556
3900,pop2,2.0262208487287556
4000,pop1,1.9764593666898547
4000,pop2,1.9764593666898547
4100,pop1,1.9645475102670893
4100,pop2,1.9645475102670893
4200,pop1,1.8259724637409547
4200,pop2,1.8259724637409547
4300,pop1,1.7886224615068793
4300,pop2,1.7886224615068793
4400,pop1,1.7529221911367832
4400,pop2,1.7529221911367832
4500,pop1,1.7222189374165506
4500,pop2,1.7222189374165506
4600,pop1,1.7296642247461145
4600,pop2,1.7296642247461145
4700,pop1,1.7228484202870058
4700,pop2,1.7228484202870058
4800,pop1,1.6508840787381591
4800,pop2,1.6508840787381591
4900,pop1,1.631229967011877
4900,pop2,1.631229967011877
5000,pop1,1.647482067162027
5000,pop2,1.647482067162027
5100,pop1,1.6294427726695508
5100,pop2,1.6294427726695508
5200,pop1,1.6902214799753654
5200,pop2,1.6902214799753654
5300,pop1,1.6685416357686733
5300,pop2,1.6685416357686733
5400,pop1,1.6757641110258823
5400,pop2,1.6757641110258823
5500,pop1,1.612604865209203
5500,pop2,1.612604865209203
5600,pop1,1.642600328753131
5600,pop2,1.642600328753131
5700,pop1,1.6702833826983678
5700,pop2,1.6702833826983678
5800,pop1,1.5941606233496457
5800,pop2,1.5941606233496457
5900,pop1,1.6131156713014823
5900,pop2,1.6131156713014823
6000,pop1,1.6187690447820138
6000,pop2,1.6187690447820138
6100,pop1,1.5803981748058662
6100,pop2,1.5803981748058662
6200,pop1,1.5872078715257523
6200,pop2,1.5872078715257523
6300,pop1,1.5867806794168913
6300,pop2,1.5867806794168913
6400,pop1,1.599411518089941
6400,pop2,1.599411518089941
6500,pop1,1.5613447868997588
6500,pop2,1.5613447868997588
6600,pop1,1.5474522390194692
6600,pop2,1.5474522390194692
6700,pop1,1.524276284778083
6700,pop2,1.524276284778083
6800,pop1,1.5411996099323548
6800,pop2,1.5411996099323548
6900,pop1,1.5082119311351039
6900,pop2,1.5082119311351039
7000,pop1,1.4738711058410776
7000,pop2,1.4738711058410776
7100,pop1,1.4705659957235435
7100,pop2,1.4705659957235435
7200,pop1,1.4881222185772536
7200,pop2,1.4881222185772536
7300,pop1,1.503481728610703
7300,pop2,1.503481728610703
7400,pop1,1.4406949852455502
7400,pop2,1.4406949852455502
7500,pop1,1.46410692725891
7500,pop2,1.46410692725891
7600,pop1,1.4750850300444003
7600,pop2,1.4750850300444003
7700,pop1,1.5283648682623683
7700,pop2,1.5283648682623683
7800,pop1,1.5336722393614046
7800,pop2,1.5336722393614046
7900,pop1,1.5591183538168472
7900,pop2,1.5591183538168472
8000,pop1,1.5869286759786039
8000,pop2,1.5869286759786039
8100,pop1,1.6168990946449138
8100,pop2,1.6168990946449138
8200,pop1,1.6487894345532534
8200,pop2,1.6487894345532534
8300,pop1,1.6823130717046078
8300,pop2,1.6823130717046078
8400,pop1,1.7171264005647013
8400,pop2,1.7171264005647013
8500,pop1,1.7528185553701578
8500,pop2,1.7528185553701578
8600,pop1,1.7889020212300926
8600,pop2,1.7889020212300926
8700,pop1,1.8248050364830262
8700,pop2,1.8248050364830262
8800,pop1,1.8598669648056474
8800,pop2,1.8598669648056474
8900,pop1,1.893338064350444
8900,pop2,1.893338064350444
9000,pop1,1.924385240534601
9000,pop2,1.924385240534601
9100,pop1,1.9521053574848957
9100,pop2,1.9521053574848957
9200,pop1,1.9755474080705793
9200,pop2,1.9755474080705793
9300,pop1,1.9937442211156757
9300,pop2,1.9937442211156757
9400,pop1,2.0057533760749964
9400,pop2,2.0057533760749964
