time,node,sfc_1,sfc_2,sfc_3
0,pop0,0.008381079680773278,0.08202149325694383,1
0,pop1,0.008381079680773278,0.08202149325694383,1
0,pop2,0.008381079680773278,0.08202149325694383,1
0,pop3,0.008381079680773278,0.08202149325694383,1
0,pop4,0.008381079680773278,0.08202149325694383,1
0,pop5,0.008381079680773278,0.08202149325694383,1
0,pop6,0.008381079680773278,0.08202149325694383,1
0,pop7,0.008381079680773278,0.08202149325694383,1
100,pop0,0.008250026072167835,0.09140518943710192,1
100,pop1,0.008250026072167835,0.09140518943710192,1
100,pop2,0.008250026072167835,0.09140518943710192,1
100,pop3,0.008250026072167835,0.09140518943710192,1
100,pop4,0.008250026072167835,0.09140518943710192,1
100,pop5,0.008250026072167835,0.09140518943710192,1
100,pop6,0.008250026072167835,0.09140518943710192,1
100,pop7,0.008250026072167835,0.09140518943710192,1
200,pop0,0.008267873483380529,0.10031006887865647,1
200,pop1,0.008267873483380529,0.10031006887865647,1
200,pop2,0.008267873483380529,0.10031006887865647,1
200,pop3,0.008267873483380529,0.10031006887865647,1
200,pop4,0.008267873483380529,0.10031006887865647,1
200,pop5,0.008267873483380529,0.10031006887865647,1
200,pop6,0.008267873483380529,0.10031006887865647,1
200,pop7,0.008267873483380529,0.10031006887865647,1
300,pop0,0.007894716080747296,0.10977640677235534,1
300,pop1,0.007894716080747296,0.10977640677235534,1
300,pop2,0.007894716080747296,0.10977640677235534,1
300,pop3,0.007894716080747296,0.10977640677235534,1
300,pop4,0.007894716080747296,0.10977640677235534,1
300,pop5,0.007894716080747296,0.10977640677235534,1
300,pop6,0.007894716080747296,0.10977640677235534,1
300,pop7,0.007894716080747296,0.10977640677235534,1
400,pop0,0.006825471447651249,0.12021851512776671,1
400,pop1,0.006825471447651249,0.12021851512776671,1
400,pop2,0.006825471447651249,0.12021851512776671,1
400,pop3,0.006825471447651249,0.12021851512776671,1
400,pop4,0.006825471447651249,0.12021851512776671,1
400,pop5,0.006825471447651249,0.12021851512776671,1
400,pop6,0.006825471447651249,0.12021851512776671,1
400,pop7,0.006825471447651249,0.12021851512776671,1
500,pop0,0.007294666900530004,0.13725852936672733,1
500,pop1,0.007294666900530004,0.13725852936672733,1
500,pop2,0.007294666900530004,0.13725852936672733,1
500,pop3,0.007294666900530004,0.13725852936672733,1
500,pop4,0.007294666900530004,0.13725852936672733,1
500,pop5,0.007294666900530004,0.13725852936672733,1
500,pop6,0.007294666900530004,0.13725852936672733,1
500,pop7,0.007294666900530004,0.13725852936672733,1
600,pop0,0.006749029029035159,0.15200643244568818,1
600,pop1,0.006749029029035159,0.15200643244568818,1
600,pop2,0.006749029029035159,0.15200643244568818,1
600,pop3,0.006749029029035159,0.15200643244568818,1
