time,node,inter_arrival_mean
0,pop1,2.050570216291804
0,pop2,2.050570216291804
100,pop1,8.438197751690176
100,pop2,8.438197751690176
200,pop1,2.5271058851309247
200,pop2,2.5271058851309247
300,pop1,2.965843057083711
300,pop2,2.965843057083711
400,pop1,1.791138722912824
400,pop2,1.791138722912824
500,pop1,2.2460065067221673
500,pop2,2.2460065067221673
600,pop1,1.9780629076718612
600,pop2,1.9780629076718612
700,pop1,6.5893787716252135
700,pop2,6.5893787716252135
800,pop1,1.1405552938636299
800,pop2,1.1405552938636299
900,pop1,1.5347219397945098
900,pop2,1.5347219397945098
1000,pop1,1.7050513011603476
1000,pop2,1.7050513011603476
1100,pop1,2.1736480445558075
1100,pop2,2.1736480445558075
1200,pop1,3.112350344904257
1200,pop2,3.112350344904257
1300,pop1,1.5194259835371722
1300,pop2,1.5194259835371722
1400,pop1,3.0762677475448674
1400,pop2,3.0762677475448674
1500,pop1,3.4327818329472213
1500,pop2,3.4327818329472213
1600,pop1,3.884240465097156
1600,pop2,3.884240465097156
1700,pop1,2.295097283451738
1700,pop2,2.295097283451738
1800,pop1,3.34466051511151
1800,pop2,3.34466051511151
1900,pop1,1.6748373425750216
1900,pop2,1.6748373425750216
2000,pop1,5.894176446905912
2000,pop2,5.894176446905912
2100,pop1,3.5925379810379847
2100,pop2,3.5925379810379847
2200,pop1,1.2566709003320795
2200,pop2,1.2566709003320795
2300,pop1,3.318466730870291
2300,pop2,3.318466730870291
2400,pop1,4.090036907100174
2400,pop2,4.090036907100174
2500,pop1,2.068381175841992
2500,pop2,2.068381175841992
2600,pop1,3.9083762130766435
2600,pop2,3.9083762130766435
2700,pop1,5.047584434300564
2700,pop2,5.047584434300564
2800,pop1,1.618696967572322
2800,pop2,1.618696967572322
2900,pop1,6.079049850311042
2900,pop2,6.079049850311042
3000,pop1,1.6989044558581545
3000,pop2,1.6989044558581545
3100,pop1,1.231855219853449
3100,pop2,1.231855219853449
3200,pop1,2.4258627267607067
3200,pop2,2.4258627267607067
3300,pop1,1.8667081214692627
3300,pop2,1.8667081214692627
3400,pop1,1.9021207101007922
3400,pop2,1.9021207101007922
3500,pop1,1.1932171861974707
3500,pop2,1.1932171861974707
3600,pop1,1.0245993652861725
3600,pop2,1.0245993652861725
3700,pop1,2.2504076153167487
3700,pop2,2.2504076153167487
3800,pop1,2.477836451392424
3800,pop2,2.477836451392424
3900,pop1,1.2774830014219691
3900,pop2,1.2774830014219691
4000,pop1,1.6372032020710696
4000,pop2,1.6372032020710696
4100,pop1,1.018777025379632
4100,pop2,1.018777025379632
4200,pop1,1.5604641226961893
4200,pop2,1.5604641226961893
4300,pop1,2.1743467954672124
4300,pop2,2.1743467954672124
4400,pop1,2.255808135421471
4400,pop2,2.255808135421471
4500,pop1,1.7083053766764227
4500,pop2,1.7083053766764227
4600,pop1,5.977769303593845
4600,pop2,5.977769303593845
4700,pop1,1.8830999997141833
4700,pop2,1.8830999997141833
4800,pop1,4.475569207097994
4800,pop2,4.475569207097994
4900,pop1,1.3544668303471585
4900,pop2,1.3544668303471585
5000,pop1,1.1679966876388979
5000,pop2,1.1679966876388979
5100,pop1,1.6424498741866138
5100,pop2,1.6424498741866138
5200,pop1,1.5389483835091855
5200,pop2,1.5389483835091855
5300,pop1,1.1684961615876193
5300,pop2,1.1684961615876193
5400,pop1,4.224394117137276
5400,pop2,4.224394117137276
5500,pop1,2.077615368984289
5500,pop2,2.077615368984289
5600,pop1,1.52604232648282
5600,pop2,1.52604232648282
5700,pop1,1.2138291962843781
5700,pop2,1.2138291962843781
5800,pop1,2.8022139330771347
5800,pop2,2.8022139330771347
5900,pop1,1.4420877971687076
5900,pop2,1.4420877971687076
6000,pop1,1.6004440985514852
6000,pop2,1.6004440985514852
6100,pop1,1.2916549123969774
6100,pop2,1.2916549123969774
6200,pop1,3.351925618827113
6200,pop2,3.351925618827113
6300,pop1,2.0145063643811776
6300,pop2,2.0145063643811776
6400,pop1,1.0304243056698918
6400,pop2,1.0304243056698918
6500,pop1,2.9519065412091043
6500,pop2,2.9519065412091043
6600,pop1,1.1475842421151434
6600,pop2,1.1475842421151434
6700,pop1,1.4531333686822063
6700,pop2,1.4531333686822063
6800,pop1,1.6735236957767627
6800,pop2,1.6735236957767627
6900,pop1,9.940715490681171
6900,pop2,9.940715490681171
7000,pop1,5.524128519472712
7000,pop2,5.524128519472712
7100,pop1,7.052608843771413
7100,pop2,7.052608843771413
7200,pop1,1.24113565564156
7200,pop2,1.24113565564156
7300,pop1,1.1464184613808015
7300,pop2,1.1464184613808015
7400,pop1,1.4721474657786875
7400,pop2,1.4721474657786875
7500,pop1,1.161645191339365
7500,pop2,1.161645191339365
7600,pop1,1.3996522263818547
7600,pop2,1.3996522263818547
7700,pop1,4.473490707495013
7700,pop2,4.473490707495013
7800,pop1,1.543366878771031
7800,pop2,1.543366878771031
7900,pop1,2.609850475751927
7900,pop2,2.609850475751927
8000,pop1,1.1039019894655113
8000,pop2,1.1039019894655113
8100,pop1,1.5304761287062292
8100,pop2,1.5304761287062292
8200,pop1,1.3083502471732704
8200,pop2,1.3083502471732704
8300,pop1,1.9755002060793694
8300,pop2,1.9755002060793694
8400,pop1,3.7258231189680053
8400,pop2,3.7258231189680053
8500,pop1,2.43915846572015
8500,pop2,2.43915846572015
8600,pop1,1.695189334615512
8600,pop2,1.695189334615512
8700,pop1,1.3790227040120189
8700,pop2,1.3790227040120189
8800,pop1,2.257790793099319
8800,pop2,2.257790793099319
8900,pop1,1.0648402931381107
8900,pop2,1.0648402931381107
9000,pop1,1.7362383747928833
9000,pop2,1.7362383747928833
9100,pop1,1.7843924073606332
9100,pop2,1.7843924073606332
9200,pop1,4.8539023397137395
9200,pop2,4.8539023397137395
9300,pop1,6.184548509938898
9300,pop2,6.184548509938898
9400,pop1,3.2006727103272152
9400,pop2,3.2006727103272152
