time,node,inter_arrival_mean
0,pop1,1.8487184721566712
0,pop2,1.8487184721566712
100,pop1,2.034441190673928
100,pop2,2.034441190673928
200,pop1,2.2820531085755817
200,pop2,2.2820531085755817
300,pop1,3.02475941869678
300,pop2,3.02475941869678
400,pop1,2.859165781080819
400,pop2,2.859165781080819
500,pop1,2.387967390282372
500,pop2,2.387967390282372
600,pop1,2.6583455640775417
600,pop2,2.6583455640775417
700,pop1,5.063786259865584
700,pop2,5.063786259865584
800,pop1,2.864008783634863
800,pop2,2.864008783634863
900,pop1,2.284603630905442
900,pop2,2.284603630905442
1000,pop1,9.51369590505875
1000,pop2,9.51369590505875
1100,pop1,4.2545329677266635
1100,pop2,4.2545329677266635
1200,pop1,4.735990096560809
1200,pop2,4.735990096560809
1300,pop1,2.8971047971124593
1300,pop2,2.8971047971124593
1400,pop1,2.370834833495385
1400,pop2,2.370834833495385
1500,pop1,3.3634273607188834
1500,pop2,3.3634273607188834
1600,pop1,3.5442386014429843
1600,pop2,3.5442386014429843
1700,pop1,2.1766681758650246
1700,pop2,2.1766681758650246
1800,pop1,3.783285656291982
1800,pop2,3.783285656291982
1900,pop1,5.923803553102972
1900,pop2,5.923803553102972
2000,pop1,6.703913512092788
2000,pop2,6.703913512092788
2100,pop1,3.30046410109936
2100,pop2,3.30046410109936
2200,pop1,1.546929246883669
2200,pop2,1.546929246883669
2300,pop1,4.863248951649622
2300,pop2,4.863248951649622
2400,pop1,2.574772225695623
2400,pop2,2.574772225695623
2500,pop1,2.2139028510282968
2500,pop2,2.2139028510282968
2600,pop1,1.8568804867514561
2600,pop2,1.8568804867514561
2700,pop1,2.363301380622025
2700,pop2,2.363301380622025
2800,pop1,6.049154684593788
2800,pop2,6.049154684593788
2900,pop1,2.0477522926805745
2900,pop2,2.0477522926805745
3000,pop1,1.4740494102282642
3000,pop2,1.4740494102282642
3100,pop1,2.0887742118546813
3100,pop2,2.0887742118546813
3200,pop1,1.7046337851754383
3200,pop2,1.7046337851754383
3300,pop1,2.318651168913398
3300,pop2,2.318651168913398
3400,pop1,1.9540034671749733
3400,pop2,1.9540034671749733
3500,pop1,1.6191959409651018
3500,pop2,1.6191959409651018
3600,pop1,1.9066071337713129
3600,pop2,1.9066071337713129
3700,pop1,1.3561241065199667
3700,pop2,1.3561241065199667
3800,pop1,1.6691201804044855
3800,pop2,1.6691201804044855
3900,pop1,2.136366490827041
3900,pop2,2.136366490827041
4000,pop1,1.94316954783943
4000,pop2,1.94316954783943
4100,pop1,1.9941666215079428
4100,pop2,1.9941666215079428
4200,pop1,2.5275811595757283
4200,pop2,2.5275811595757283
4300,pop1,1.4944370289717657
4300,pop2,1.4944370289717657
4400,pop1,1.4499873887789765
4400,pop2,1.4499873887789765
4500,pop1,1.5455815197279001
