time,node,inter_arrival_mean
0,pop1,2.179080684765349
0,pop2,2.179080684765349
100,pop1,2.1790828421535515
100,pop2,2.1790828421535515
200,pop1,2.1822678509198905
200,pop2,2.1822678509198905
300,pop1,2.188112007823944
300,pop2,2.188112007823944
400,pop1,2.196102365756632
400,pop2,2.196102365756632
500,pop1,2.205725142337991
500,pop2,2.205725142337991
600,pop1,2.216456539118464
600,pop2,2.216456539118464
700,pop1,2.2277559101870037
700,pop2,2.2277559101870037
800,pop1,2.2390613806317265
800,pop2,2.2390613806317265
900,pop1,2.24978813210954
900,pop2,2.24978813210954
1000,pop1,2.2593296406240637
1000,pop2,2.2593296406240637
1100,pop1,2.267062161283258
1100,pop2,2.267062161283258
1200,pop1,2.272352694778732
1200,pop2,2.272352694778732
1300,pop1,2.2745705303609887
1300,pop2,2.2745705303609887
1400,pop1,2.2731022358107746
1400,pop2,2.2731022358107746
1500,pop1,2.267369662923329
1500,pop2,2.267369662923329
1600,pop1,2.2568501794677545
1600,pop2,2.2568501794677545
1700,pop1,2.216231566246402
1700,pop2,2.216231566246402
1800,pop1,2.0972323062739755
1800,pop2,2.0972323062739755
1900,pop1,2.084529453888595
1900,pop2,2.084529453888595
2000,pop1,1.997260814980106
2000,pop2,1.997260814980106
2100,pop1,2.0239141965853076
2100,pop2,2.0239141965853076
2200,pop1,1.9962804016332205
2200,pop2,1.9962804016332205
2300,pop1,1.9141595333929575
2300,pop2,1.9141595333929575
2400,pop1,1.895247466110734
2400,pop2,1.895247466110734
2500,pop1,1.830928541346201
2500,pop2,1.830928541346201
2600,pop1,1.9069357140624612
2600,pop2,1.9069357140624612
2700,pop1,1.8445289157378868
2700,pop2,1.8445289157378868
2800,pop1,1.8505955012669357
2800,pop2,1.8505955012669357
2900,pop1,1.846159841105007
2900,pop2,1.846159841105007
3000,pop1,1.8370135906556018
3000,pop2,1.8370135906556018
3100,pop1,1.8760338016307243
3100,pop2,1.8760338016307243
3200,pop1,1.8155295223891577
3200,pop2,1.8155295223891577
3300,pop1,1.7659451952568144
3300,pop2,1.7659451952568144
3400,pop1,1.8040347840961535
3400,pop2,1.8040347840961535
3500,pop1,1.8264071625733898
3500,pop2,1.8264071625733898
3600,pop1,1.8688064660704544
3600,pop2,1.8688064660704544
3700,pop1,1.8925833389674507
3700,pop2,1.8925833389674507
3800,pop1,1.8078290180500889
3800,pop2,1.8078290180500889
3900,pop1,1.772687541504716
3900,pop2,1.772687541504716
4000,pop1,1.796311352322397
4000,pop2,1.796311352322397
4100,pop1,1.8324771406351203
4100,pop2,1.8324771406351203
4200,pop1,1.7816657050443787
4200,pop2,1.7816657050443787
4300,pop1,1.7804197184082518
4300,pop2,1.7804197184082518
4400,pop1,1.7904908343258585
4400,pop2,1.7904908343258585
4500,pop1,1.785989171460237
4500,pop2,1.785989171460237
4600,pop1,1.8067401751190142
4600,pop2,1.8067401751190142
4700,pop1,1.7621937308970992
4700,pop2,1.7621937308970992
4800,pop1,1.6865328225272715
4800,pop2,1.6865328225272715
4900,pop1,1.7129030832845744
4900,pop2,1.7129030832845744
5000,pop1,1.6936169442815734
5000,pop2,1.6936169442815734
5100,pop1,1.714520843787393
5100,pop2,1.714520843787393
5200,pop1,1.7341085022038734
5200,pop2,1.7341085022038734
5300,pop1,1.7899638908014575
5300,pop2,1.7899638908014575
5400,pop1,1.72839057617332
5400,pop2,1.72839057617332
5500,pop1,1.7255507536490764
5500,pop2,1.7255507536490764
5600,pop1,1.7650420232281492
5600,pop2,1.7650420232281492
5700,pop1,1.7719677070604734
5700,pop2,1.7719677070604734
5800,pop1,1.7946424672219403
5800,pop2,1.7946424672219403
5900,pop1,1.6817947408849911
5900,pop2,1.6817947408849911
6000,pop1,1.6402926571337884
6000,pop2,1.6402926571337884
6100,pop1,1.5966123997188775
6100,pop2,1.5966123997188775
6200,pop1,1.5340025422457368
6200,pop2,1.5340025422457368
6300,pop1,1.5498353989038778
6300,pop2,1.5498353989038778
6400,pop1,1.5077838836944601
6400,pop2,1.5077838836944601
6500,pop1,1.4768032386826913
6500,pop2,1.4768032386826913
6600,pop1,1.4784413291712235
6600,pop2,1.4784413291712235
6700,pop1,1.4702332190256096
6700,pop2,1.4702332190256096
6800,pop1,1.49887515124725
6800,pop2,1.49887515124725
6900,pop1,1.477615416088143
6900,pop2,1.477615416088143
7000,pop1,1.464446001126092
7000,pop2,1.464446001126092
7100,pop1,1.476483111815476
7100,pop2,1.476483111815476
7200,pop1,1.4938217852329028
7200,pop2,1.4938217852329028
7300,pop1,1.4444573589193728
7300,pop2,1.4444573589193728
7400,pop1,1.3836288510676757
7400,pop2,1.3836288510676757
7500,pop1,1.3710186489273732
7500,pop2,1.3710186489273732
7600,pop1,1.3827895481187025
7600,pop2,1.3827895481187025
7700,pop1,1.4353168671458976
7700,pop2,1.4353168671458976
7800,pop1,1.4160934737996052
7800,pop2,1.4160934737996052
7900,pop1,1.4378750406506382
7900,pop2,1.4378750406506382
8000,pop1,1.4621138948007886
8000,pop2,1.4621138948007886
8100,pop1,1.4884149584975244
8100,pop2,1.4884149584975244
8200,pop1,1.5163233192472536
8200,pop2,1.5163233192472536
8300,pop1,1.5453080050229504
8300,pop2,1.5453080050229504
8400,pop1,1.5747477237118424
8400,pop2,1.5747477237118424
8500,pop1,1.6039200481029077
8500,pop2,1.6039200481029077
8600,pop1,1.6319960704760146
8600,pop2,1.6319960704760146
8700,pop1,1.6580429988098644
8700,pop2,1.6580429988098644
8800,pop1,1.6810373676514616
8800,pop2,1.6810373676514616
8900,pop1,1.6998912925186302
8900,pop2,1.6998912925186302
9000,pop1,1.7134933015316094
9000,pop2,1.7134933015316094
9100,pop1,1.7207635934895131
9100,pop2,1.7207635934895131
9200,pop1,1.7207211314947264
9200,pop2,1.7207211314947264
9300,pop1,1.7125570921201199
9300,pop2,1.7125570921201199
9400,pop1,1.695706469230529
9400,pop2,1.695706469230529
