time,node,inter_arrival_mean
0,pop1,1.2784774643003523
0,pop2,1.2784774643003523
100,pop1,2.640294066508203
100,pop2,2.640294066508203
200,pop1,1.5481388011703052
200,pop2,1.5481388011703052
300,pop1,1.8638808998168446
300,pop2,1.8638808998168446
400,pop1,3.3316727868034914
400,pop2,3.3316727868034914
500,pop1,1.9739828595240227
500,pop2,1.9739828595240227
600,pop1,2.5700820111561424
600,pop2,2.5700820111561424
700,pop1,9.403401541199312
700,pop2,9.403401541199312
800,pop1,3.6686559790683586
800,pop2,3.6686559790683586
900,pop1,2.1953210080467964
900,pop2,2.1953210080467964
1000,pop1,5.5079440716339505
1000,pop2,5.5079440716339505
1100,pop1,1.5522900756342703
1100,pop2,1.5522900756342703
1200,pop1,1.2688465463427447
1200,pop2,1.2688465463427447
1300,pop1,4.776759634426072
1300,pop2,4.776759634426072
1400,pop1,2.6203715724398404
1400,pop2,2.6203715724398404
1500,pop1,4.483907875738517
1500,pop2,4.483907875738517
1600,pop1,1.620984420908688
1600,pop2,1.620984420908688
1700,pop1,5.344270606121494
1700,pop2,5.344270606121494
1800,pop1,2.4662563141895677
1800,pop2,2.4662563141895677
1900,pop1,4.507488626392635
1900,pop2,4.507488626392635
2000,pop1,3.5701809673157783
2000,pop2,3.5701809673157783
2100,pop1,2.6369050831093293
2100,pop2,2.6369050831093293
2200,pop1,1.2009546715721842
2200,pop2,1.2009546715721842
2300,pop1,5.312891631734969
2300,pop2,5.312891631734969
2400,pop1,2.487614323886228
2400,pop2,2.487614323886228
2500,pop1,1.4590579393918663
2500,pop2,1.4590579393918663
2600,pop1,1.0916686843885481
2600,pop2,1.0916686843885481
2700,pop1,3.3791419681525565
2700,pop2,3.3791419681525565
2800,pop1,3.4226566735181163
2800,pop2,3.4226566735181163
2900,pop1,1.2538037941166045
2900,pop2,1.2538037941166045
3000,pop1,1.6291792521116806
3000,pop2,1.6291792521116806
3100,pop1,3.0336732840368366
3100,pop2,3.0336732840368366
3200,pop1,1.734968689154554
3200,pop2,1.734968689154554
3300,pop1,1.6374668483611163
3300,pop2,1.6374668483611163
3400,pop1,3.043194579272036
3400,pop2,3.043194579272036
3500,pop1,1.291313197217487
3500,pop2,1.291313197217487
3600,pop1,1.2782055275286774
3600,pop2,1.2782055275286774
3700,pop1,1.8184927244775257
3700,pop2,1.8184927244775257
3800,pop1,1.5598550091596879
3800,pop2,1.5598550091596879
3900,pop1,1.0685070183329983
3900,pop2,1.0685070183329983
4000,pop1,1.3718161926487549
4000,pop2,1.3718161926487549
4100,pop1,2.495429386899537
4100,pop2,2.495429386899537
4200,pop1,1.665216652253188
4200,pop2,1.665216652253188
4300,pop1,2.145024211103694
4300,pop2,2.145024211103694
4400,pop1,1.1810429302096044
4400,pop2,1.1810429302096044
4500,pop1,2.2731269902783358
4500,pop2,2.2731269902783358
4600,pop1,3.4783061383234775
4600,pop2,3.4783061383234775
4700,pop1,5.785228250954461
4700,pop2,5.785228250954461
4800,pop1,1.9289112514002256
4800,pop2,1.9289112514002256
4900,pop1,1.8019237046313252
4900,pop2,1.8019237046313252
5000,pop1,1.4319982849767696
5000,pop2,1.4319982849767696
5100,pop1,2.2233654596904375
5100,pop2,2.2233654596904375
5200,pop1,1.4181055645533052
5200,pop2,1.4181055645533052
5300,pop1,1.8666925496671385
5300,pop2,1.8666925496671385
5400,pop1,1.385164065915331
5400,pop2,1.385164065915331
5500,pop1,1.5838158396818791
5500,pop2,1.5838158396818791
5600,pop1,1.4814738284685371
5600,pop2,1.4814738284685371
5700,pop1,1.2670972954996893
5700,pop2,1.2670972954996893
5800,pop1,1.025889193609482
5800,pop2,1.025889193609482
5900,pop1,1.7866006861847907
5900,pop2,1.7866006861847907
6000,pop1,1.5433516344385732
6000,pop2,1.5433516344385732
6100,pop1,1.4163692922404483
6100,pop2,1.4163692922404483
6200,pop1,1.6593095033507765
6200,pop2,1.6593095033507765
6300,pop1,1.0957708442480651
6300,pop2,1.0957708442480651
6400,pop1,1.3805924394777136
6400,pop2,1.3805924394777136
6500,pop1,1.2767813406832267
6500,pop2,1.2767813406832267
6600,pop1,1.320078963841923
6600,pop2,1.320078963841923
6700,pop1,1.055351864673945
6700,pop2,1.055351864673945
6800,pop1,1.2154085394375407
6800,pop2,1.2154085394375407
6900,pop1,2.7354035244278094
6900,pop2,2.7354035244278094
7000,pop1,4.761143667202113
7000,pop2,4.761143667202113
7100,pop1,5.290779509954669
7100,pop2,5.290779509954669
7200,pop1,1.4321212565296426
7200,pop2,1.4321212565296426
7300,pop1,1.7364149595609315
7300,pop2,1.7364149595609315
7400,pop1,1.2957439007253662
7400,pop2,1.2957439007253662
7500,pop1,1.8508655956424722
7500,pop2,1.8508655956424722
7600,pop1,1.0196443080846183
7600,pop2,1.0196443080846183
7700,pop1,1.0404349050415076
7700,pop2,1.0404349050415076
7800,pop1,1.0053795986957688
7800,pop2,1.0053795986957688
7900,pop1,1.478141488523174
7900,pop2,1.478141488523174
8000,pop1,1.0340032585525076
8000,pop2,1.0340032585525076
8100,pop1,3.533643124614344
8100,pop2,3.533643124614344
8200,pop1,1.3759939305278353
8200,pop2,1.3759939305278353
8300,pop1,3.6856734449679287
8300,pop2,3.6856734449679287
8400,pop1,6.414387250839045
8400,pop2,6.414387250839045
8500,pop1,6.411858762033415
8500,pop2,6.411858762033415
8600,pop1,2.2019364907803944
8600,pop2,2.2019364907803944
8700,pop1,3.718797711779939
8700,pop2,3.718797711779939
8800,pop1,1.9461207242208878
8800,pop2,1.9461207242208878
8900,pop1,1.251017156133482
8900,pop2,1.251017156133482
9000,pop1,1.9174547643460267
9000,pop2,1.9174547643460267
9100,pop1,6.12634295180959
9100,pop2,6.12634295180959
9200,pop1,1.4523788784509
9200,pop2,1.4523788784509
9300,pop1,1.982453283597762
9300,pop2,1.982453283597762
9400,pop1,2.3946734645746965
9400,pop2,2.3946734645746965
