time,node,inter_arrival_mean
0,pop1,2.030030927468345
0,pop2,2.030030927468345
100,pop1,4.630292645214475
100,pop2,4.630292645214475
200,pop1,4.6361685376460136
200,pop2,4.6361685376460136
300,pop1,1.1199435821614434
300,pop2,1.1199435821614434
400,pop1,2.3685460169165653
400,pop2,2.3685460169165653
500,pop1,1.5764435140803181
500,pop2,1.5764435140803181
600,pop1,2.3834992348525517
600,pop2,2.3834992348525517
700,pop1,4.000243142710835
700,pop2,4.000243142710835
800,pop1,2.80524732930893
800,pop2,2.80524732930893
900,pop1,1.848572320875771
900,pop2,1.848572320875771
1000,pop1,3.7820658724960037
1000,pop2,3.7820658724960037
1100,pop1,2.4634315662985453
1100,pop2,2.4634315662985453
1200,pop1,1.538116825905242
1200,pop2,1.538116825905242
1300,pop1,6.991830441498553
1300,pop2,6.991830441498553
1400,pop1,2.0148169014606636
1400,pop2,2.0148169014606636
1500,pop1,7.951275195838726
1500,pop2,7.951275195838726
1600,pop1,9.441104306265586
1600,pop2,9.441104306265586
1700,pop1,3.538588753436224
1700,pop2,3.538588753436224
1800,pop1,1.9012951900769883
1800,pop2,1.9012951900769883
1900,pop1,4.137490922031027
1900,pop2,4.137490922031027
2000,pop1,2.003887049854266
2000,pop2,2.003887049854266
2100,pop1,3.078898990252907
2100,pop2,3.078898990252907
2200,pop1,1.6704075221608086
2200,pop2,1.6704075221608086
2300,pop1,1.0656463426396499
2300,pop2,1.0656463426396499
2400,pop1,1.8921629905553774
2400,pop2,1.8921629905553774
2500,pop1,1.309479609682926
2500,pop2,1.309479609682926
2600,pop1,1.1639297331771559
2600,pop2,1.1639297331771559
2700,pop1,1.674070978025328
2700,pop2,1.674070978025328
2800,pop1,1.1529281658355577
2800,pop2,1.1529281658355577
2900,pop1,2.1507901610507294
2900,pop2,2.1507901610507294
3000,pop1,1.9905340204137354
3000,pop2,1.9905340204137354
3100,pop1,1.4273920056385099
3100,pop2,1.4273920056385099
3200,pop1,1.23866208751226
3200,pop2,1.23866208751226
3300,pop1,1.675650154715715
3300,pop2,1.675650154715715
3400,pop1,1.2077694870001503
3400,pop2,1.2077694870001503
3500,pop1,1.247312855436013
3500,pop2,1.247312855436013
3600,pop1,1.3780476933535988
3600,pop2,1.3780476933535988
3700,pop1,2.0815175185877566
3700,pop2,2.0815175185877566
3800,pop1,1.4102665583118623
3800,pop2,1.4102665583118623
3900,pop1,1.9137205067128433
3900,pop2,1.9137205067128433
4000,pop1,1.8390680143933207
4000,pop2,1.8390680143933207
4100,pop1,1.2344061614843849
4100,pop2,1.2344061614843849
4200,pop1,3.519163303304584
4200,pop2,3.519163303304584
